id;name;age;company;location;position;;
u30;30unter30;;MediumMagazin; Muenchen;;;
IsBe;IsabellBeer;27;Funk;Berlin ;Redakteurin ;;
DeRe;DeutscherReporterpreis ;;WeltN24 ;Berlin;;;
Ot-Br-Ne;Otto-Brenner-Newcomerpreis;;Otto-Brenner-Stiftung(IGMetall) ;FrankfurtAmMain;;;
NaPr;NannenPreis;;VerlagshausGrunerUJahr;Hamburg;;;
BeKu;BerlinerKurier;;BerlinerKurier;Berlin;;;
UlBu;UllsteinBuchverlageGmbH;;UllsteinBuchverlageGmbH;Berlin;;;
CaVe;CarlsenVerlagGmbH;;CarlsenVerlagGmbH;Hamburg;;;
Funk;funk-Content-NetzwerkvonARDundZDF ;;ARDuZDF;;;;
DiZe;DieZeit ;;ZeitverlagGerdBuceriusGmbHuCo.KG ;Hamburg;;;
AnBr;AnnikaBrockschmidt;29;Zeit;Berlin ;FreieJournalistin ;;
UnHe;UniversitaetHeidelberg;;;Heidelberg;;;
UnPo;UniversitaetPotsdam;;;Potsdam;;;
DuUn;DurhamUniversity;;;Drnham;;;
HoDi;HochschulperleDigital;Stifterverbandes für die Deutsche Wissenschaft;;Essen;;;
ZeOn;ZeitOnline;;ZeitOnlineGmbH;Hamburg;;;
BuPoBi;BundeszentraleFürPolitischeBildung ;;;Bonn;;;
ZDF;ZDF-ZweitesDeutschesFernsehen;;;Mainz;;;
Fora;Fora: Network for Change;;;Toronto;;;
SiPi;SciencePie;SciencePodcast;;;;;
DeTa;DerTagesspiegel ;;VerlagDerTagesspiegelGmbH;Berlin;;;
PuDj;PuneDjalilevand;30;RundfunkBerlin-Brandenburg;Berlin;Redakteurin;;
ARD;ARD-ArbeitsgemeinschaftDerÖffentlich-rechtlichenRundfunkanstaltenDerBRD;;;Berlin;;;
RBB;RundfunkBerlin-Brandenburg;;;Berlin;;;
EMS;ElectronicMediaSchool ;;;Babelsberg;;;
FiUnBa;FilmuniversitaetBabelsbergKonradWolf;;;Babelsberg;;;
UnBA;UniversidadDeBuenosAires;;;Buenos Aires;;;
CaDr;CarolinaDrueten;28;WeltN24 ;Berlin;Redakteurin ;;
IsBiUe;İstanbulBilgiUeniversitesi;;;Istanbul;;;
UnEAS;UniversityofEuropeforAppliedSciences;;;Potsdam;;;
UnAa;AarhusUniversity;;;Aarhus;;;
CiUnLo;CityUniversityofLondon;;;London;;;
EuPa;EuropeanParliament;;;Brussels;;;
AlAg;AltanaAg;;;Cologne;;;
Welt;Welt;;WeltN24 ;Berlin;;;
StMe;StiftungMercator;;StiftungMercatorGmbH;Essen;;;
DAAD;DAAD-GermanAcademicExchangeService;;;Bonn;;;
ThSp;ThoughtSpark;;ThoughtSparkAgency;London;;;
IdFl;Ida Flik;;;;;;
SoGa;SophieGarbe;27;;Berlin;FreieJournalistin;;
DeSp;DerSpiegel;;SPIEGEL-VerlagRudolfAugstein;Hamburg;;;
Watson;watson.de;;AZMedienAG;Zürich;;;
SZ;SueddeutscheZeitung;;SüddeutscheZeitungGmbH;Muenchen;;;
DeJo;DeutscheJournalistenschule;;;Muenchen;Ausbildung;;
LuMaUn;Ludwig-Maximilians-UniversitaetMuenchen;;;Muenchen;;;
WeWiUn;WestfaelischeWilhelms-UniversitaetMuenster;;;Muenster;;;
LaGo;LauraGoudkamp;;BayerischerRundfunk;Muenchen;FreieJournalistin;Digitalexpertin;
BaRu;BayerischerRundfunk;;;Muenchen;;;
GeEmLo;GermanEmbassyLondon;;;London;;;
Ya;Yahoo;;;;;;
DeBu;DeutscherBundestag;;;Berlin;;;
UCL;UniversityCollegeLondon;;;London;;;
HoUt;HogeschoolUtrecht;;;Utrecht;;;
ipas;InternationalAndPublicAffairsSociety;;;London;;;
Plus;PULS(BayerischerRundfunk);;AlliteraVerlag;Muenchen;;;
NaJoBa;NachwuchsjournalistenBayern;;Hanns-SeidelStiftung;Muenchen;;;
SaHo;SalwaHoumsi;25;;;Moderatorin;;
WDR;WDR-WestdeutscherRundfunk;;;Koeln;;;
RaFr;RadioFritz;;RundfunkBerlin-Brandenburg;Berlin;;;
Sp;Spotify;;;;;;
InMuJoAw;InternationalMusicJournalismAward;;DasReeperbahnFestival;Hamburg;;;
GrOnAw;GrimmeOnlineAward;;Grimme-Institut;Marl;;;
ARTE ;ARTE ;;;Straßburg;;;
MeKa;MerveKayikci;26;SWR-Südwestrundfunk;;Moderatorin;;
SWR;SWR-Südwestrundfunk;;;Mainz;;;
