from;to;type;year
IsBe;u30;nominierung;2021
IsBe;Ot-Br-Ne;preis;2019
IsBe;NaPr;preis;2020
IsBe;BeKu;voluntariat;2015
AnBr;u30;nominierung;2021
AnBr;UnHe;education;2012
AnBr;UnPo;education;2017
AnBr;DuUn;education;2015
AnBr;HoDi;preis;2015
AnBr;Fora;engagement;2016
AnBr;SiPi;engagement;
PuDj;u30;nominierung;2021
PuDj;FiUnBa;education;2017
PuDj;FiUnBa;education;2016
PuDj;UnPo;education;2012
PuDj;UnBA;education;2014
CaDr;u30;nominierung;2021
CaDr;IsBiUe;education;2014
CaDr;UnEAS;education;2012
CaDr;UnAa;education;2015
CaDr;CiUnLo;education;2016
CaDr;StMe;engagement;2019
CaDr;Welt;voluntariat;2018-2019
CaDr;DAAD;engagement;2016-2017
SoGa;u30;nominierung;2021
SoGa;DeSp;employment;2019-
SoGa;DeJo;education;2018-2020
SoGa;LuMaUn;education;2018-2020
SoGa;WeWiUn;education;2017
LaGo;u30;nominierung;2021
LaGo;HoUt;education;2012-2013
LaGo;LuMaUn;education;2010-2014
LaGo;UCl;education;2014-2015
LaGo;ipas;engagement;2014-
LaGo;BaRu;voluntariat;2015-2017
LaGo;NaJoBa;preis;2012
SaHo;u30;nominierung;2021
SaHo;InMuJoAw;preis;2018
MeKa;u30;nominierung;2021
MeKa;DaMeJo;education;
MeKa;EbKaUn;education;
MeKa;hu;education;
MeKa;HoDeMe;education;
MeKa;OrGe;preis;2019
FrKl;u30;nominierung;2021
FrKl;BAUNWE;education;2012-2015
FrKl;HeNaSc;education;2018
FrKl;GuRe;preis;2021
FrKl;SaZe;voluntariat;2017-2019
FrKl;DeJo;preis;2021
MaKn;u30;nominierung;2021
MaKn;HuUnBe;education;2014-2019
MaKn;TeAvUn;education;2017-2018
HaKn;u30;nominierung;
HaKn;FrUnBe;education;2012-2015
HaKn;DeJo;education;2016-2018
HaKn;LuMaUn;education;2016-2018
HaKn;UCL;education;2014-2015
HaKn;HeScJoPr;preis;2021
HaKn;HeScJoPr;preis;2020
SaKo;u30;nomination;2021
SaKo;UnHa;education;2021
SaKo;JoWoGoUn;education;2017-2021
NhLe;u30;nominierung;2021
NhLe;UnLe;education;2018-2020
NhLe;UnLe;education;2017-2020
NhLe;UniOh;education;2013-2017
NhLe;DiMeWo;engagement;2016-2017
SaUl;u30;nominierung;2021
SaUl;DeJoPrLaRe;preis;2021
SaUl;BJVPf;preis;2021
SaUl;DIMR;preis;2021
SaUl;N-Ost;preis;2020
SaUl;HeBoSt;preis;2020
SaUl;GoIn;preis;2019
SaUl;RoLuSt;preis;2016-2020
SaUl;NeRe;engagement;
SaUl;FrSc;engagement;
SaUl;DJU;engagement;
SaUl;RoLuSt;engagement;
SaUl;UnJe;education;
SaUl;UnMa;education;
AmWe;u30;nominierung;2021
AmWe;FoMa;voluntariat;2020
AmWe;BuJo;education;2020
AmWe;UnMa;education;2018
AmWe;HuBuMe;voluntariat;2020
AmWe;GlMeAw;preis;2022
AmWe;25Ne;preis;2022
AmWe;EcPr;preis;2021
AmWe;EuDiPuAw;preis;2021
JuWe;HeSt;voluntariat;2021
JuWe;FAU;education;2017
JuWe;KaJo;education;2017
JuWe;PaWoSePr;preis;2018
JuWe;NaPr;preis;2021
JuWe;DeLoJo;preis;2019
JuWe;u30;nominierung;2021
MaWu;u30;nominierung;2021
MaWu;UnMai;education;
